subject,subjectType,predicate,object,objectType,sourceDoc,sourceSection,sourcePage,sourceQuote,qualifiers,confidence
"STE-Research-Report_Ch1.pdf","Document","HAS_SECTION","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","{}","high"
"I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","HAS_FIGURE","Abb. 1: Prinzip der Kernspaltung","Figure","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Abb. 1: Prinzip der Kernspaltung","{}","high"
"I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","HAS_FOOTNOTE","Fußnote 1","Footnote","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","1 1 MeV = 1 Megaelektronenvolt entspricht einer Energie von 1,602•10-13 Joule (J)","{}","high"
"I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","HAS_FOOTNOTE","Fußnote 2","Footnote","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","In der Natur kommt Uran (Unat) als Isotopengemisch vor, bei dem der Anteil des leicht spaltbaren 235U nur 0,72% und der Anteil des schwer spaltbaren 238U 99,28% beträgt.","{}","high"
"I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","HAS_FOOTNOTE","Fußnote 3","Footnote","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","8","3 Zur Veranschaulichung: In Analogie zur Kernspaltung stellt sich die Verbrennung von Kohlenstoff auf atomarer Basis wie folgt dar: C + O2 → CO2 + 4,1 eV.","{}","high"
"Abb. 1: Prinzip der Kernspaltung","Figure","ILLUSTRATES","Kernspaltung","Process","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Abbildung 1 illustriert diesen Vorgang und beschreibt ihn in der Formelsprache der Physik.","{""normalizedKey"":""Process::Kernspaltung""}","high"
"Claim: Eindringen eines Neutrons führt zur Kernspaltung von Uran-235","Claim","SUPPORTED_BY","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","Section","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Claim::STE-Ch1-p7-c1"",""relevance"":""core""}","high"
"Claim: Eindringen eines Neutrons führt zur Kernspaltung von Uran-235","Claim","ABOUT","Otto Hahn","Person","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Person::Otto Hahn""}","high"
"Claim: Eindringen eines Neutrons führt zur Kernspaltung von Uran-235","Claim","ABOUT","Neutron (n)","Particle","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Particle::Neutron (n)""}","high"
"Claim: Eindringen eines Neutrons führt zur Kernspaltung von Uran-235","Claim","ABOUT","Uran-235 (235U)","Isotope","STE-Research-Report_Ch1.pdf","I Einleitung: Zur historischen Entwicklung der Kernkraftwerke","7","Im Jahr 1938 konnten sie nachweisen, dass nach dem Eindringen eines Neutrons (n) in einen schweren Uran-235-Atomkern (235U) dieser in zwei mittelschwere Bruchstücke, wie z. B. Krypton (89Kr) und Barium (144Ba), zerfällt.","{""normalizedKey"":""Isotope::Uran-235 (235U)"",""alias"":[""Uran-235-Atomkern (235U)"",""235U""]}","high"
