"STE-Research-Report_Ch4","Document","HAS_SECTION","IV Internationale Kooperationen zur Förderung der friedlichen Nutzung der Kernenergie","Section","STE-Research-Report_Ch4","Document","21","IV Internationale Kooperationen zur Förderung der friedlichen Nutzung der Kernenergie","{}","high"
"IV Internationale Kooperationen zur Förderung der friedlichen Nutzung der Kernenergie","Section","HAS_SECTION","IV.1 Das Generation IV International Forum (GIF)","Section","STE-Research-Report_Ch4","21","IV.1 Das Generation IV International Forum (GIF)","{}","high"
"IV Internationale Kooperationen zur Förderung der friedlichen Nutzung der Kernenergie","Section","HAS_SECTION","IV.2 Das International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Section","STE-Research-Report_Ch4","22","IV.2 Das International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","{}","high"
"IV.1 Das Generation IV International Forum (GIF)","Section","HAS_FIGURE","Abb. 11: Kooperationspartner in GIF","Figure","STE-Research-Report_Ch4","22","Abb. 11: Kooperationspartner in GIF","{}","high"
"IV.2 Das International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Section","HAS_FIGURE","Abb. 12: INPRO Mitglieder (grün markiert), Stand: Ende 2008","Figure","STE-Research-Report_Ch4","24","Abb. 12: INPRO Mitglieder7 (grün markiert), Stand: Ende 2008","{}","high"
"IV.1 Das Generation IV International Forum (GIF)","Section","HAS_FOOTNOTE","6","Footnote","STE-Research-Report_Ch4","21","6 Organisation for Economic Co-operation and Development/Nuclear Energy Agency","{}","high"
"IV.2 Das International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Section","HAS_FOOTNOTE","7","Footnote","STE-Research-Report_Ch4","24","7 In der Reihenfolge der abgebildeten Flaggen (von links): Canada, USA, France, Spain, The Netherlands, Switzerland, Germany, Czech Republic, Ukraine, Belarus, The Russian Federation, China, Pakistan, Japan; Argentina, Chile, Brazil, Morocco, South Africa, Belgium, European Commission (EC), Slovakia, Bulgaria, Turkey, Armenia, India, Rep. of Korea, Indonesia.","{}","high"
"Claim_GIF_und_INPRO_gleiches_Ziel","Claim","SUPPORTED_BY","IV Internationale Kooperationen zur Förderung der friedlichen Nutzung der Kernenergie","Section","STE-Research-Report_Ch4","21","Beide Projekte verfolgen das gleiche Ziel, die Entwicklung von Kernenergiesystemen der nächsten Generation bzw. die Förderung der friedlichen Nutzung der Nukleartechnik, um einen Beitrag zur Deckung des zukünftigen, globalen Energiebedarfs zu leisten.","{""relevance"":""core""}","high"
"Claim_GIF_und_INPRO_gleiches_Ziel","Claim","ABOUT","Generation IV International Forum (GIF)","Project","STE-Research-Report_Ch4","21","Beide Projekte verfolgen das gleiche Ziel, die Entwicklung von Kernenergiesystemen der nächsten Generation bzw. die Förderung der friedlichen Nutzung der Nukleartechnik, um einen Beitrag zur Deckung des zukünftigen, globalen Energiebedarfs zu leisten.","{""normalizedKey"":""Project::Generation IV International Forum (GIF)""}","high"
"Claim_GIF_und_INPRO_gleiches_Ziel","Claim","ABOUT","International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Project","STE-Research-Report_Ch4","21","Beide Projekte verfolgen das gleiche Ziel, die Entwicklung von Kernenergiesystemen der nächsten Generation bzw. die Förderung der friedlichen Nutzung der Nukleartechnik, um einen Beitrag zur Deckung des zukünftigen, globalen Energiebedarfs zu leisten.","{""normalizedKey"":""Project::International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)""}","high"
"Generation IV International Forum (GIF)","Project","HAS_OBJECTIVE","Entwicklung von Kernenergiesystemen der nächsten Generation","Concept","STE-Research-Report_Ch4","21","Beide Projekte verfolgen das gleiche Ziel, die Entwicklung von Kernenergiesystemen der nächsten Generation...","{""normalizedKey"":""Concept::Entwicklung von Kernenergiesystemen der nächsten Generation""}","high"
"International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Project","HAS_OBJECTIVE","Förderung der friedlichen Nutzung der Nukleartechnik","Concept","STE-Research-Report_Ch4","21","Beide Projekte verfolgen das gleiche Ziel, ... die Förderung der friedlichen Nutzung der Nukleartechnik...","{""normalizedKey"":""Concept::Förderung der friedlichen Nutzung der Nukleartechnik""}","high"
"Claim_GIF_Mitgliederzahl","Claim","SUPPORTED_BY","IV.1 Das Generation IV International Forum (GIF)","Section","STE-Research-Report_Ch4","21","Heute umfasst GIF zwölf Mitgliedstaaten und die Euratom (s. Abb. 11).","{""relevance"":""core""}","high"
"Claim_GIF_Mitgliederzahl","Claim","ABOUT","Generation IV International Forum (GIF)","Project","STE-Research-Report_Ch4","21","Heute umfasst GIF zwölf Mitgliedstaaten und die Euratom (s. Abb. 11).","{""normalizedKey"":""Project::Generation IV International Forum (GIF)""}","high"
"Claim_GIF_Mitgliederzahl","Claim","HAS_VALUE","QuantityValue_GIF_Mitglieder","QuantityValue","STE-Research-Report_Ch4","21","Heute umfasst GIF zwölf Mitgliedstaaten und die Euratom (s. Abb. 11).","{""value"":12,""unit"":""count"",""type"":""member_states""}","high"
"Generation IV International Forum (GIF)","Project","HOSTED_BY","OECD/NEA","Organization","STE-Research-Report_Ch4","21","Das GIF Sekretariat stellt die OECD/NEA in Paris bereit.","{""normalizedKey"":""Organization::OECD/NEA""}","high"
"Claim_GIF_Sekretariat","Claim","SUPPORTED_BY","IV.1 Das Generation IV International Forum (GIF)","Section","STE-Research-Report_Ch4","21","Das GIF Sekretariat stellt die OECD/NEA in Paris bereit.","{""relevance"":""supporting""}","high"
"Claim_GIF_Sekretariat","Claim","ABOUT","Generation IV International Forum (GIF)","Project","STE-Research-Report_Ch4","21","Das GIF Sekretariat stellt die OECD/NEA in Paris bereit.","{""normalizedKey"":""Project::Generation IV International Forum (GIF)""}","high"
"Claim_INPRO_Gründungsmitglieder","Claim","SUPPORTED_BY","IV.2 Das International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Section","STE-Research-Report_Ch4","25","INPRO zählte bei seiner Gründung 13 Kooperationspartner, Ende 2008 zählte das Projekt 28 Mitglieder (s. Abb. 12).","{""relevance"":""core""}","high"
"Claim_INPRO_Gründungsmitglieder","Claim","ABOUT","International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Project","STE-Research-Report_Ch4","25","INPRO zählte bei seiner Gründung 13 Kooperationspartner, Ende 2008 zählte das Projekt 28 Mitglieder (s. Abb. 12).","{""normalizedKey"":""Project::International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)""}","high"
"Claim_INPRO_Gründungsmitglieder","Claim","HAS_VALUE","QuantityValue_INPRO_2001","QuantityValue","STE-Research-Report_Ch4","25","INPRO zählte bei seiner Gründung 13 Kooperationspartner...","{""value"":13,""unit"":""count"",""type"":""founding_partners""}","high"
"Claim_INPRO_Mitglieder_2008","Claim","SUPPORTED_BY","IV.2 Das International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Section","STE-Research-Report_Ch4","25","Ende 2008 zählte das Projekt 28 Mitglieder (s. Abb. 12).","{""relevance"":""core"",""asOf"":""2008""}","high"
"Claim_INPRO_Mitglieder_2008","Claim","ABOUT","International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Project","STE-Research-Report_Ch4","25","Ende 2008 zählte das Projekt 28 Mitglieder (s. Abb. 12).","{""normalizedKey"":""Project::International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)""}","high"
"Claim_INPRO_Mitglieder_2008","Claim","HAS_VALUE","QuantityValue_INPRO_2008","QuantityValue","STE-Research-Report_Ch4","25","Ende 2008 zählte das Projekt 28 Mitglieder (s. Abb. 12).","{""value"":28,""unit"":""count"",""type"":""members""}","high"
"International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Project","HAS_OBSERVER","Generation IV International Forum (GIF)","Project","STE-Research-Report_Ch4","25","In gegenseitiger Anerkennung werden Repräsentanten vom GIF und der OECD/NEA als Ständige Beobachter zu den halbjährlich stattfindenden Beratungen des INPRO Lenkungsausschusses eingeladen.","{""observerType"":""permanent"",""normalizedKey"":""Project::Generation IV International Forum (GIF)""}","high"
"International Project on Innovative Nuclear Reactors and Fuel Cycles (INPRO)","Project","HAS_OBSERVER","OECD/NEA","Organization","STE-Research-Report_Ch4","25","In gegenseitiger Anerkennung werden Repräsentanten vom GIF und der OECD/NEA als Ständige Beobachter zu den halbjährlich stattfindenden Beratungen des INPRO Lenkungsausschusses eingeladen.","{""observerType"":""permanent"",""normalizedKey"":""Organization::OECD/NEA""}","high"
