"STE-Research-Report_Ch5.pdf","Document","HAS_SECTION","V Die nuklearen Energiesysteme der Generation IV","Section","STE-Research-Report_Ch5.pdf","Document","25","V Die nuklearen Energiesysteme der Generation IV","{}","high"
"V Die nuklearen Energiesysteme der Generation IV","Section","MENTIONS","Supercritical-Water-Cooled Reactor System (SCWR)","Reactor","STE-Research-Report_Ch5.pdf","V Die nuklearen Energiesysteme der Generation IV","25","Ein mit überkritischem Wasserdampf gekühltes Reaktorsystem (Supercritical-Water-Cooled Reactor System (SCWR))","{""normalizedKey"":""Reactor::Supercritical-Water-Cooled Reactor System (SCWR)""}","high"
"V Die nuklearen Energiesysteme der Generation IV","Section","MENTIONS","Very-High-Temperature Reactor System (VHTR)","Reactor","STE-Research-Report_Ch5.pdf","V Die nuklearen Energiesysteme der Generation IV","27","Ein gasgekühltes Höchsttemperatur-Reaktorsystem (Very-High-Temperature Reactor System (VHTR))","{""normalizedKey"":""Reactor::Very-High-Temperature Reactor System (VHTR)""}","high"
"V Die nuklearen Energiesysteme der Generation IV","Section","MENTIONS","Gas-Cooled Fast Reactor System (GFR)","Reactor","STE-Research-Report_Ch5.pdf","V Die nuklearen Energiesysteme der Generation IV","30","Ein gasgekühltes schnelles Reaktorsystem (Gas-Cooled Fast Reactor System (GFR))","{""normalizedKey"":""Reactor::Gas-Cooled Fast Reactor System (GFR)""}","high"
"V Die nuklearen Energiesysteme der Generation IV","Section","MENTIONS","Sodium-Cooled Fast Reactor System (SFR)","Reactor","STE-Research-Report_Ch5.pdf","V Die nuklearen Energiesysteme der Generation IV","32","Ein natriumgekühltes schnelles Reaktorsystem (Sodium-Cooled Fast Reactor System (SFR))","{""normalizedKey"":""Reactor::Sodium-Cooled Fast Reactor System (SFR)""}","high"
"V Die nuklearen Energiesysteme der Generation IV","Section","MENTIONS","Lead-Cooled Fast Reactor System (LFR)","Reactor","STE-Research-Report_Ch5.pdf","V Die nuklearen Energiesysteme der Generation IV","34","Ein bleigekühltes schnelles Reaktorsystem (Lead-Cooled Fast Reactor System (LFR))","{""normalizedKey"":""Reactor::Lead-Cooled Fast Reactor System (LFR)""}","high"
"V Die nuklearen Energiesysteme der Generation IV","Section","MENTIONS","Molten Salt Reactor System (MSR)","Reactor","STE-Research-Report_Ch5.pdf","V Die nuklearen Energiesysteme der Generation IV","36","Ein Salzschmelze-Reaktorsystem (Molten Salt Reactor System (MSR))","{""normalizedKey"":""Reactor::Molten Salt Reactor System (MSR)""}","high"
"Claim SCWR Wirkungsgrad 44%","Claim","SUPPORTED_BY","Tab. 4: Anlagenparameter eines SCWR-Systems","Table","STE-Research-Report_Ch5.pdf","V.1 Ein mit überkritischem Wasserdampf gekühltes Reaktorsystem (SCWR)","27","Wirkungsgrad (%) 44","{""relevance"":""core""}","high"
"Claim SCWR Wirkungsgrad 44%","Claim","ABOUT","Supercritical-Water-Cooled Reactor System (SCWR)","Reactor","STE-Research-Report_Ch5.pdf","V.1 Ein mit überkritischem Wasserdampf gekühltes Reaktorsystem (SCWR)","27","Wirkungsgrad (%) 44","{""normalizedKey"":""Reactor::Supercritical-Water-Cooled Reactor System (SCWR)""}","high"
"Claim SCWR Wirkungsgrad 44%","Claim","HAS_VALUE","QuantityValue SCWR Wirkungsgrad 44%","QuantityValue","STE-Research-Report_Ch5.pdf","V.1 Ein mit überkritischem Wasserdampf gekühltes Reaktorsystem (SCWR)","27","Wirkungsgrad (%) 44","{""value"":44,""unit"":""%"",""type"":""thermal_efficiency""}","high"
"Claim VHTR Wasserstoffproduktion 600MW","Claim","SUPPORTED_BY","V.2 Ein gasgekühltes Höchsttemperatur-Reaktorsystem (VHTR)","Section","STE-Research-Report_Ch5.pdf","V.2 Ein gasgekühltes Höchsttemperatur-Reaktorsystem (VHTR)","28","Mit einer thermischen Leistung von 600 MW kann eine VHTR Anlage über 2 Mio. Kubikmeter Wasserstoff pro Tag bereitstellen.","{""relevance"":""core""}","high"
"Claim VHTR Wasserstoffproduktion 600MW","Claim","ABOUT","Very-High-Temperature Reactor System (VHTR)","Reactor","STE-Research-Report_Ch5.pdf","V.2 Ein gasgekühltes Höchsttemperatur-Reaktorsystem (VHTR)","28","Mit einer thermischen Leistung von 600 MW kann eine VHTR Anlage über 2 Mio. Kubikmeter Wasserstoff pro Tag bereitstellen.","{""normalizedKey"":""Reactor::Very-High-Temperature Reactor System (VHTR)""}","high"
