"VI Risikountersuchungen zu Kernkraftwerken","Section","PART_OF","STE-Research-Report_Ch6","Document","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","39","VI Risikountersuchungen zu Kernkraftwerken","{""normalizedKey"":""Section::VI Risikountersuchungen zu Kernkraftwerken""}","high"
"Claim_Risiko_Definition_Produkt","Claim","ABOUT","Risiko","Concept","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","39","Im Rahmen der Versicherungsmathematik ist das Risiko definiert als einfaches Produkt aus zwei Faktoren: Risiko = Eintrittswahrscheinlichkeit x Schadensausmaß","{""normalizedKey"":""Claim::Risiko_Definition_Produkt"",""claimType"":""definition"",""relevance"":""core""}","high"
"Claim_Risiko_Definition_Produkt","Claim","DERIVED_FROM","Eintrittswahrscheinlichkeit","Concept","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","39","Risiko = Eintrittswahrscheinlichkeit x Schadensausmaß","{""normalizedKey"":""Claim::Risiko_Definition_Produkt""}","high"
"Claim_Risiko_Definition_Produkt","Claim","DERIVED_FROM","Schadensausmaß","Concept","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","39","Risiko = Eintrittswahrscheinlichkeit x Schadensausmaß","{""normalizedKey"":""Claim::Risiko_Definition_Produkt""}","high"
"Claim_WASH1400_Kernschmelzhäufigkeit","Claim","ABOUT","WASH-1400","Assessment","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","41","Die erste umfassende Risikostudie WASH-1400 erschien im Jahr 1975 in den USA","{""normalizedKey"":""Claim::WASH1400_Kernschmelzhäufigkeit"",""relevance"":""core""}","high"
"Claim_WASH1400_Kernschmelzhäufigkeit","Claim","ABOUT","Surry-1","Reactor","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","41","Als Referenzanlage wurde der DWR Block Surry-1 mit einer Leistung von 810 MWe ausgewählt. Für diese Anlage wurde die Eintrittshäufigkeit für einen Kernschmelzunfall mit 0,0002 pro Reaktorbetriebsjahr (2·10-4/a) berechnet.","{""normalizedKey"":""Claim::WASH1400_Kernschmelzhäufigkeit""}","high"
"Claim_WASH1400_Kernschmelzhäufigkeit","Claim","HAS_VALUE","QV_WASH1400_0_0002_per_a","QuantityValue","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","41","Für diese Anlage wurde die Eintrittshäufigkeit für einen Kernschmelzunfall mit 0,0002 pro Reaktorbetriebsjahr (2·10-4/a) berechnet.","{""normalizedKey"":""Claim::WASH1400_Kernschmelzhäufigkeit""}","high"
"QV_WASH1400_0_0002_per_a","QuantityValue","HAS_UNIT","1/a","Unit","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","41","0,0002 pro Reaktorbetriebsjahr (2·10-4/a)","{""normalizedKey"":""QuantityValue::0_0002_per_a"",""value"":0.0002,""unit"":""1/a"",""type"":""core_melt_frequency""}","high"
"Claim_DRSB_Kernschmelzhäufigkeit","Claim","ABOUT","Deutsche Risikostudie Kernkraftwerke – Phase B (DRS-B)","Assessment","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","Die Referenzanlage für diese Studie ist das KKW BIBLIS-B, ein 1.300 MWe DWR Block. Die mit verfeinerten Methoden durchgeführte probabilistische Sicherheitsanalyse (PSA) liefert für einen Kernschmelzunfall eine Eintrittshäufigkeit von 3·10-5/a.","{""normalizedKey"":""Claim::DRSB_Kernschmelzhäufigkeit"",""relevance"":""core""}","high"
"Claim_DRSB_Kernschmelzhäufigkeit","Claim","ABOUT","KKW BIBLIS-B","Reactor","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","Die Referenzanlage für diese Studie ist das KKW BIBLIS-B, ein 1.300 MWe DWR Block.","{""normalizedKey"":""Claim::DRSB_Kernschmelzhäufigkeit""}","high"
"Claim_DRSB_Kernschmelzhäufigkeit","Claim","HAS_VALUE","QV_DRSB_3e-5_per_a","QuantityValue","STE-Research-Report_Ch6","VI Risikountersuchungen zu Kernkraftwerken","43","liefert für einen Kernschmelzunfall eine Eintrittshäufigkeit von 3·10-5/a.","{""normalizedKey"":""Claim::DRSB_Kernschmelzhäufigkeit""}","high"
